2021-11-11T09:03:35.501Z [AUDIT] Token created by 'anonymous': tokenId='ba713e70-e939-4689-9aa5-27e3a1c0bd6e', issuer='jfrou@01fm73sv6s4d6cyy1rm4qbwzj4', subject='jfrou@01fm73sv6s4d6cyy1rm4qbwzj4', expiry=none, refreshable=false
2021-11-11T09:03:37.946Z [AUDIT] Token created by 'anonymous': tokenId='d3d58e05-23ee-4120-8f74-b72593a57857', issuer='jfac@01fm73sqysjgst0t1vddpw09kv', subject='jfac@01fm73sqysjgst0t1vddpw09kv', expiry=1636621537943, refreshable=false
2021-11-11T09:03:38.070Z [AUDIT] Token created by 'anonymous': tokenId='e012ce62-4b15-4395-a8b2-0e49ed8a0086', issuer='jfac@01fm73sqysjgst0t1vddpw09kv', subject='jfac@01fm73sqysjgst0t1vddpw09kv', expiry=1636621538065, refreshable=false
2021-11-11T09:03:38.280Z [AUDIT] Token created by 'anonymous': tokenId='b387c593-15c2-45fd-b81a-73cf69400f42', issuer='jfac@01fm73sqysjgst0t1vddpw09kv', subject='jfac@01fm73sqysjgst0t1vddpw09kv', expiry=1636621538278, refreshable=false
2021-11-11T09:03:38.686Z [AUDIT] Token created by 'anonymous': tokenId='f72635ce-1d70-4a6e-9477-8b65ecc4f359', issuer='jfac@01fm73sqysjgst0t1vddpw09kv', subject='jfac@01fm73sqysjgst0t1vddpw09kv', expiry=1636621538685, refreshable=false
2021-11-11T09:03:39.493Z [AUDIT] Token created by 'anonymous': tokenId='2721774d-ad4a-41fa-afac-80cfdc697233', issuer='jfac@01fm73sqysjgst0t1vddpw09kv', subject='jfac@01fm73sqysjgst0t1vddpw09kv', expiry=1636621539492, refreshable=false
2021-11-11T09:03:39.856Z [AUDIT] Token created by 'anonymous': tokenId='a67d8cbb-ae4e-4d3a-8bdb-96ca476c3cd8', issuer='jfevt@01fm73sqysjgst0t1vddpw09kv', subject='jfevt@01fm73sqysjgst0t1vddpw09kv', expiry=none, refreshable=false
2021-11-11T09:03:39.958Z [AUDIT] Token created by 'jfevt@01fm73sqysjgst0t1vddpw09kv': tokenId='646a0840-5907-48a8-b05c-2c57f894292a', issuer='jfevt@01fm73sqysjgst0t1vddpw09kv', subject='jfevt@01fm73sqysjgst0t1vddpw09kv', expiry=1636707819957, refreshable=true
2021-11-11T09:03:40.006Z [AUDIT] Token created by 'anonymous': tokenId='7e57e66d-55b5-4663-8d78-4ba3da2bd0ee', issuer='jfob@01fm73sqysjgst0t1vddpw09kv', subject='jfob@01fm73sqysjgst0t1vddpw09kv', expiry=none, refreshable=false
2021-11-11T09:03:40.503Z [AUDIT] Token created by 'anonymous': tokenId='40506496-b5d6-44ed-8e62-7b54feeeb68b', issuer='jfac@01fm73sqysjgst0t1vddpw09kv', subject='jfac@01fm73sqysjgst0t1vddpw09kv', expiry=1636621540502, refreshable=false
2021-11-11T09:03:40.543Z [AUDIT] Token created by 'anonymous': tokenId='f2bbe729-e693-461d-a842-3c039009942c', issuer='jfmd@01fm73sw2hffqpz18jr6kq7m9p', subject='jfmd@01fm73sw2hffqpz18jr6kq7m9p', expiry=none, refreshable=false
2021-11-11T09:03:42.544Z [AUDIT] Token created by 'anonymous': tokenId='8ab59e34-8b96-4d9d-b2ba-839fd711003a', issuer='jfrt@01fm73t3m1gsbw1sp9a3en1jrf', subject='jfrt@01fm73t3m1gsbw1sp9a3en1jrf', expiry=none, refreshable=false
2021-11-11T09:03:44.392Z [AUDIT] Token created by 'jfrt@01fm73t3m1gsbw1sp9a3en1jrf': tokenId='f286317d-715d-4f91-af25-5aa3d2773153', issuer='jfrt@01fm73t3m1gsbw1sp9a3en1jrf', subject='jfrt@01fm73t3m1gsbw1sp9a3en1jrf', expiry=2582701424391, refreshable=false
2021-11-11T09:03:44.797Z [AUDIT] Token created by 'jfrt@01fm73t3m1gsbw1sp9a3en1jrf': tokenId='43511457-e22a-450f-b6ed-9d42eee5e90a', issuer='jfrt@01fm73t3m1gsbw1sp9a3en1jrf/users/_system_', subject='jfrt@01fm73t3m1gsbw1sp9a3en1jrf/users/_system_', expiry=none, refreshable=false
2021-11-11T09:03:49.051Z [AUDIT] Token created by 'anonymous': tokenId='0295a85b-2698-4d9c-ae2c-85fb51c7b38e', issuer='jffe@000', subject='jffe@000', expiry=none, refreshable=false
2021-11-11T09:03:49.086Z [AUDIT] Token created by 'jffe@000': tokenId='945b97ba-7382-4776-9157-b9839a9f0414', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1636622029086, refreshable=false
2021-11-11T09:04:02.364Z [AUDIT] Token created by 'jffe@000': tokenId='2d95bc2a-ebd9-482f-b315-bde338e8cf07', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1636622042364, refreshable=false
2021-11-11T09:04:02.365Z [AUDIT] Token created by 'jffe@000': tokenId='79b93a30-411e-408f-a624-fa12b6b45520', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1636622042365, refreshable=false
2021-11-11T09:05:04.825Z [AUDIT] Token created by 'jffe@000': tokenId='98e0fcb6-40cc-4f3e-b047-a1b188cf2caf', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1636623304823, refreshable=true
2021-11-11T09:05:04.897Z [AUDIT] Token created by 'jffe@000': tokenId='29bd7a60-2f98-4249-89aa-f80bd09607a8', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1636622104897, refreshable=false
2021-11-11T09:05:04.897Z [AUDIT] Token created by 'jffe@000': tokenId='0eab593a-e3c9-40b1-9f16-2e2d9b49b73e', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1636622104897, refreshable=false
2021-11-11T09:10:10.211Z [AUDIT] Token refreshed by 'jffe@000': oldTokenId='98e0fcb6-40cc-4f3e-b047-a1b188cf2caf', tokenId='b27f51ad-7514-4448-b88a-fd21d45a67bc', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1636623610209, refreshable=true
2021-11-11T09:13:51.420Z [AUDIT] Token created by 'jffe@000': tokenId='520d648d-13b0-45f8-af8f-7cf41115d8a7', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1636622631419, refreshable=false
2021-11-11T09:13:51.420Z [AUDIT] Token created by 'jffe@000': tokenId='7d4324d8-cf06-4716-bb50-941424dac2d8', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1636622631419, refreshable=false
2021-11-11T09:13:51.422Z [AUDIT] Token created by 'jffe@000': tokenId='bf67dd14-ef09-458d-98b0-b41b476bb16e', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1636622631422, refreshable=false
2021-11-11T09:13:51.424Z [AUDIT] Token created by 'jffe@000': tokenId='44d0f157-ec93-46dc-868c-f1c812f2e284', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1636622631424, refreshable=false
